FarmID,FarmSize_Decimal,PondNumber,CulturedSpecies,MainSpecies,ShrimpCoCulture,ShrimpProd,ShrimpPrice_1,ShrimpPrice_2,FinfishCoCulture,NoFinfish,TotalSpecies
F1,13200,3,Peneaus monodon,Y,Y,1.7,750,550,Y,6,9
F1,13200,3,Metapenaeus monoceros,N,Y,0.97,500,500,Y,6,9
F1,13200,3,Metapenaeus brevicornis,N,Y,0.36,350,300,Y,6,9
F2,2310,2,Peneaus monodon,Y,Y,0.5,700,500,Y,3,5
F2,2310,2,Macrobrachium rosenbergii ,N,Y,0.5,1200,600,Y,3,5
F3,1320,1,Peneaus monodon,Y,Y,1.9,450,350,Y,4,6
F3,1320,1,Metapenaeus monoceros,N,Y,0.5,500,400,Y,4,6
F4,6600,5,Macrobrachium rosenbergii ,Y,Y,0.25,1000,600,Y,6,9
F4,6600,5,Metapenaeus monoceros,N,Y,0.03,500,400,Y,6,9
F4,6600,5,Penaeus orientalis,N,Y,0.03,550,400,Y,6,9
F5,500,2,Macrobrachium rosenbergii ,Y,N,1.7,600,500,Y,4,5
F6,531,1,Peneaus monodon,Y,Y,1.5,600,400,Y,4,7
F6,531,1,Metapenaeus monoceros,N,Y,0.6,500,450,Y,4,7
F6,531,1,Metapenaeus brevicornis,N,Y,0.5,400,300,Y,4,7
F7,396,1,Peneaus monodon,Y,N,2.02,650,530,Y,6,7
F8,3960,3,Peneaus monodon,Y,N,1,850,500,Y,7,8
F9,396,3,Peneaus monodon,Y,N,3.8,850,500,N,0,1
F10,528,6,Peneaus monodon,Y,N,30,1150,790,N,0,1
F11,6600,2,Peneaus monodon,Y,Y,0.8,610,500,Y,4,7
F11,6600,2,Metapenaeus monoceros,N,Y,0.3,450,450,Y,4,7
F11,6600,2,Metapenaeus brevicornis,N,Y,0.3,500,500,Y,4,7
F12,3300,2,Peneaus monodon,Y,Y,0.4,600,370,Y,8,11
F12,3300,2,Metapenaeus monoceros,N,Y,0.2,450,300,Y,8,11
F12,3300,2,Metapenaeus brevicornis,N,Y,0.1,400,400,Y,8,11
F13,495,4,Peneaus monodon,Y,N,3.3,650,500,Y,8,9
F14,100,1,Peneaus monodon,Y,N,1.3,540,300,Y,4,5
