ID,AmountOfSaltwaterFinfishPurchase_PreCovid,AmountOfSaltwaterFinfishPurchase_PostCovid,SW_ReasonAmount,SW_ReasonAmount_other,AmountOfFreshwaterFinfishPurchase_PreCovid,AmountOfFreshwaterFinfishPurchase_PostCovid,FW_ReasonAmount,FW_ReasonAmount_other,AmountOfShrimpPurchase_PreCovid,AmountOfShrimpPurchase_PostCovid,Badga_ReasonAmount,Badga_ReasonAmount_Other,AmountOfPrawnPurchase_PreCovid,AmountOfPrawnPurchase_PostCovid,Golda_Reason,Golda_Reason_other
1,< 2 kg/week,< 2 kg/week,I have not changed the species of fish I buy,,2-5 kg/week,< 2 kg/week,Other,Other shrimp species has become reasonable,0.5-1 kg/week,2-3 kg/week,I have changed the species because they are more available,,< 0.5 kg/week,< 0.5 kg/week,I have not changed the species of fish I buy,
,,,,,,,,,,,I have changed the species because they are cheaper,,,,,
,,,,,,,,,,,I have changed the species because they are more nutritious,,,,,
,,,,,,,,,,,I have changed the species because they are better for the immune system,,,,,
2,< 2 kg/week,< 2 kg/week,I have not changed the species of fish I buy,,2-5 kg/week,< 2 kg/week,Other,Avoid fish market for being more crowd,< 0.5 kg/week,< 0.5 kg/week,I have not changed the species of fish I buy,,0.5-1 kg/week,0.5-1 kg/week,I have not changed the species of fish I buy,
,,,,,,,,,,,,,,,,
3,< 2 kg/week,< 2 kg/week,I have not changed the species of fish I buy,,< 2 kg/week,< 2 kg/week,I have not changed the species of fish I buy,,< 0.5 kg/week,2-3 kg/week,I have changed the species because they are more nutritious,,0.5-1 kg/week,> 3 kg/week,I have changed the species because they are more available,
,,,,,,,,,,,,,,,I have changed the species because they are more nutritious,
,,,,,,,,,,,I have changed the species because they are better for the immune system,,,,I have changed the species because they are better for the immune system,
4,< 2 kg/week,2-5 kg/week,I have changed the species because they are more available,,< 2 kg/week,< 2 kg/week,I have not changed the species of fish I buy,,< 0.5 kg/week,< 0.5 kg/week,I have not changed the species of fish I buy,,< 0.5 kg/week,< 0.5 kg/week,I have not changed the species of fish I buy,
,,,I have changed the species because they are more nutritious,,,,,,,,,,,,,
,,,I have changed the species because they are better for the immune system,,,,,,,,,,,,,
