Market Code,ConsumedSaltwaterFinfish,PreCovidPaidPrice/kg,PostCovidPaidPrice/kg
1,Lates calcarifer,450,400
1,Mystus vittatus,350,300
1,Labeo boga,450,400
1,Labeo rohita,250,240
1,Catla Catla,250,240
1,Cyprinus carpio,130,120
1,Ctenopharyngodon idella,280,260
1,Hypophthalmichthys molitrix,150,110
2,Lates calcarifer,650,600
2,Mystus vittatus,300,250
2,Mugil cephalus,300,250
2,Labeo rohita,300,280
2,Catla Catla,220,200
2,Cirrhinus cirrhosis,150,140
2,Cyprinus carpio var. specularis,180,170
3,Mugil cephalus,450,400
3,Labeo boga,450,400
3,Scatophagus argus,280,240
3,Labeo rohita,300,300
3,Catla Catla,200,200
3,Cyprinus carpio,150,130
3,Ctenopharyngodon idella,160,160
3,Puntius sarana,120,120
4,Lates calcarifer,500,500
4,Mugil cephalus,500,400
4,Labeo boga,400,400
4,Labeo rohita,200,180
4,Catla Catla,250,230
4,Cirrhinus cirrhosis,150,150
4,Cyprinus carpio,150,140
4,Oreochromis mossambica,120,100
5,Mugil cephalus,450,450
5,Labeo boga,450,420
5,Pomadasys hasta,260,250
5,Labeo rohita,250,250
5,Catla Catla,200,200
5,Cyprinus carpio var. specularis,170,160
5,Ctenopharyngodon idella,200,180
5,Oreochromis mossambica,100,90
5,Puntius sarana,120,115
6,Lates calcarifer,500,450
6,Mystus vittatus,400,350
6,Labeo rohita,300,300
6,Catla Catla,200,200
6,Cirrhinus cirrhosis,200,175
6,Ctenopharyngodon idella,320,270
7,Labeo boga,400,380
7,Scatophagus argus,300,250
7,Labeo rohita,200,180
7,Catla Catla,250,230
7,Cyprinus carpio,120,100
7,Cyprinus carpio var. specularis,200,180
7,Oreochromis mossambica,60,60
7,Puntius sarana,130,120
8,Lates calcarifer,650,630
8,Mystus vittatus,350,350
8,Labeo rohita,300,270
8,Catla Catla,220,200
8,Cirrhinus cirrhosis,210,180
8,Ctenopharyngodon idella,300,260
8,Hypophthalmichthys molitrix,160,120
9,Lates calcarifer,700,640
9,Labeo boga,400,400
9,Labeo rohita,200,180
9,Catla Catla,250,240
9,Cyprinus carpio,130,110
9,Cyprinus carpio var. specularis,180,160
10,Lates calcarifer,550,500
10,Labeo boga,400,380
10,Pomadasys hasta,270,250
10,Labeo rohita,250,230
10,Catla Catla,200,180
10,Cyprinus carpio,150,120
10,Ctenopharyngodon idella,250,200
11,Mystus vittatus,450,400
11,Mugil cephalus,500,400
11,Labeo rohita,300,280
11,Catla Catla,250,220
11,Cyprinus carpio,120,110
11,Cyprinus carpio var. specularis,220,180
11,Hypophthalmichthys molitrix,150,110
11,Puntius sarana,120,120
12,Lates calcarifer,550,500
12,Mystus vittatus,300,250
12,Mugil cephalus,300,250
12,Labeo rohita,250,250
12,Catla Catla,220,200
12,Cirrhinus cirrhosis,200,180
12,Ctenopharyngodon idella,260,230
12,Oreochromis mossambica,130,110
12,Puntius sarana,130,120
13,Lates calcarifer,400,400
13,Labeo boga,450,430
13,Labeo rohita,200,180
13,Catla Catla,250,240
13,Cyprinus carpio,120,100
13,Ctenopharyngodon idella,250,230
14,Lates calcarifer,400,375
14,Mystus vittatus,350,300
14,Labeo rohita,200,200
14,Catla Catla,220,200
14,Cirrhinus cirrhosis,150,125
14,Cyprinus carpio var. specularis,220,170
15,Lates calcarifer,450,400
15,Scatophagus argus,300,250
